gender,age,profession,body_type,skin_tone,height_category,personality,occasion,season,budget,color_preference,sustainability_preference,trend_interest,target_style
Female,52,Freelancer,Curvy,Fair,Short,Professional,Casual,Autumn,31395,Neutral,1,Medium,Minimal Chic
Male,40,Manager,Curvy,Medium,Tall,Calm,Casual,Spring,24471,Pastel,1,Low,Minimal Chic
Female,39,Entrepreneur,Athletic,Medium,Short,Calm,Casual,Autumn,29246,Neutral,0,High,Minimal Chic
Female,26,Freelancer,Athletic,Fair,Medium,Professional,Casual,Spring,27449,Pastel,1,Medium,Minimal Chic
Female,44,Manager,Slim,Medium,Short,Calm,Casual,Spring,30651,Neutral,0,Low,Minimal Chic
Male,30,Student,Athletic,Wheatish,Short,Professional,Brunch,Autumn,23571,Pastel,1,Medium,Minimal Chic
Male,56,Doctor,Athletic,Dark,Short,Calm,Casual,Autumn,31097,Pastel,1,High,Minimal Chic
Male,22,Designer,Slim,Dark,Tall,Calm,Brunch,Summer,28728,Pastel,1,Low,Minimal Chic
Female,18,Entrepreneur,Curvy,Fair,Medium,Trendy,Hangout,Summer,24270,Bright,1,High,Urban Street
Female,47,Entrepreneur,Average,Dark,Short,Trendy,Hangout,Spring,17990,Dark,1,Medium,Urban Street
Male,49,Lawyer,Athletic,Medium,Short,Trendy,Hangout,Spring,19163,Dark,0,High,Urban Street
Male,23,Designer,Curvy,Medium,Tall,Trendy,Hangout,Spring,24685,Bright,0,Medium,Urban Street
Male,43,Designer,Average,Dark,Medium,Trendy,Hangout,Spring,21528,Dark,1,Medium,Urban Street
Female,32,Doctor,Athletic,Dark,Short,Trendy,Casual,Summer,25866,Dark,1,Low,Urban Street
Male,36,Designer,Average,Wheatish,Medium,Trendy,Casual,Spring,11491,Bright,1,High,Urban Street
Male,58,Freelancer,Slim,Fair,Tall,Trendy,Hangout,Spring,24433,Dark,0,Low,Urban Street
Female,48,Doctor,Slim,Medium,Medium,Trendy,Casual,Summer,14888,Dark,0,Low,Urban Street
Male,53,Entrepreneur,Athletic,Medium,Medium,Trendy,Hangout,Spring,20006,Bright,0,Low,Urban Street
Male,34,Doctor,Athletic,Wheatish,Short,Trendy,Casual,Summer,23386,Dark,1,Medium,Urban Street
Male,32,Manager,Average,Medium,Short,Trendy,Hangout,Summer,23930,Bright,0,High,Urban Street
Male,35,Engineer,Slim,Fair,Short,Trendy,Hangout,Spring,14074,Dark,1,High,Urban Street
Female,35,Freelancer,Curvy,Fair,Tall,Trendy,Hangout,Spring,29782,Dark,0,Low,Urban Street
Male,54,Student,Average,Fair,Short,Trendy,Hangout,Spring,15947,Dark,1,Low,Urban Street
Female,40,Entrepreneur,Average,Dark,Tall,Trendy,Casual,Spring,23488,Dark,1,High,Urban Street
Female,53,Student,Curvy,Fair,Medium,Trendy,Hangout,Summer,23244,Bright,1,Medium,Urban Street
Male,30,Lawyer,Curvy,Medium,Short,Trendy,Hangout,Summer,19438,Dark,1,Low,Urban Street
Male,58,Designer,Athletic,Dark,Tall,Trendy,Hangout,Summer,17362,Bright,1,Low,Urban Street
Male,49,Manager,Average,Medium,Medium,Trendy,Casual,Spring,28063,Bright,1,Low,Urban Street
Male,22,Manager,Curvy,Dark,Tall,Trendy,Casual,Spring,19783,Dark,0,Medium,Urban Street
Female,40,Lawyer,Curvy,Medium,Medium,Trendy,Casual,Spring,17653,Dark,0,Medium,Urban Street
Female,42,Entrepreneur,Athletic,Medium,Short,Trendy,Hangout,Summer,24427,Bright,1,Low,Urban Street
Male,44,Engineer,Slim,Medium,Medium,Trendy,Hangout,Summer,20766,Dark,1,High,Urban Street
Female,52,Student,Slim,Wheatish,Tall,Trendy,Casual,Summer,24220,Bright,0,Medium,Urban Street
Male,37,Student,Slim,Dark,Short,Trendy,Hangout,Spring,24112,Bright,0,High,Urban Street
Female,54,Engineer,Athletic,Wheatish,Short,Trendy,Casual,Spring,29108,Bright,0,Medium,Urban Street
Female,47,Manager,Slim,Medium,Medium,Trendy,Casual,Spring,21323,Dark,1,High,Urban Street
Female,47,Manager,Athletic,Medium,Medium,Trendy,Casual,Spring,28740,Dark,1,High,Urban Street
Female,19,Entrepreneur,Average,Fair,Tall,Trendy,Hangout,Spring,17540,Dark,0,High,Urban Street
Male,57,Manager,Athletic,Fair,Tall,Trendy,Hangout,Spring,11093,Dark,0,Low,Urban Street
Female,38,Entrepreneur,Athletic,Wheatish,Short,Trendy,Hangout,Summer,18420,Dark,1,High,Urban Street
Female,25,Freelancer,Slim,Wheatish,Short,Trendy,Hangout,Summer,22929,Bright,1,High,Urban Street
Male,47,Lawyer,Average,Medium,Tall,Trendy,Casual,Summer,25449,Bright,1,High,Urban Street
Male,59,Doctor,Curvy,Dark,Tall,Trendy,Casual,Summer,11485,Bright,1,Medium,Urban Street
Male,24,Designer,Athletic,Medium,Medium,Trendy,Hangout,Summer,23594,Bright,1,High,Urban Street
Female,35,Student,Average,Wheatish,Medium,Trendy,Casual,Spring,13255,Dark,1,Low,Urban Street
Female,35,Designer,Slim,Medium,Short,Trendy,Casual,Summer,20928,Bright,0,High,Urban Street
Male,22,Designer,Athletic,Wheatish,Medium,Trendy,Casual,Spring,14741,Bright,1,Low,Urban Street
Male,60,Student,Athletic,Fair,Medium,Trendy,Hangout,Summer,15709,Dark,0,Low,Urban Street
Female,51,Doctor,Slim,Medium,Medium,Trendy,Casual,Spring,26509,Bright,0,High,Urban Street
Female,47,Student,Slim,Medium,Medium,Trendy,Casual,Spring,24534,Bright,0,Medium,Urban Street
Male,22,Engineer,Average,Dark,Medium,Trendy,Hangout,Spring,13249,Bright,0,Medium,Urban Street
Female,32,Entrepreneur,Average,Medium,Medium,Trendy,Casual,Spring,23984,Dark,1,Medium,Urban Street
Male,48,Doctor,Slim,Fair,Short,Trendy,Casual,Spring,14263,Bright,1,High,Urban Street
Male,44,Lawyer,Curvy,Fair,Medium,Trendy,Hangout,Summer,28937,Bright,0,High,Urban Street
Female,32,Doctor,Average,Dark,Short,Trendy,Casual,Spring,28381,Bright,1,Low,Urban Street
Male,35,Manager,Average,Dark,Short,Trendy,Casual,Spring,12280,Bright,0,Low,Urban Street
Male,42,Entrepreneur,Curvy,Dark,Short,Trendy,Hangout,Spring,28598,Bright,0,Low,Urban Street
Male,57,Student,Slim,Dark,Medium,Trendy,Hangout,Spring,23571,Dark,0,High,Urban Street
Male,40,Entrepreneur,Slim,Dark,Tall,Traditional,Festival,Autumn,37225,Dark,0,Low,Royal Ethnic
Male,37,Designer,Athletic,Dark,Medium,Traditional,Wedding,Autumn,46298,Dark,0,Low,Royal Ethnic
Female,52,Designer,Average,Fair,Medium,Traditional,Festival,Autumn,45065,Bright,1,High,Royal Ethnic
Female,54,Entrepreneur,Curvy,Dark,Short,Traditional,Wedding,Winter,35631,Dark,1,Low,Royal Ethnic
Female,24,Designer,Curvy,Medium,Tall,Traditional,Festival,Winter,41125,Bright,1,Low,Royal Ethnic
Male,50,Doctor,Athletic,Dark,Medium,Traditional,Wedding,Autumn,34798,Dark,0,Low,Royal Ethnic
Male,59,Doctor,Athletic,Medium,Medium,Traditional,Festival,Winter,34946,Dark,0,Medium,Royal Ethnic
Female,58,Manager,Average,Fair,Medium,Traditional,Festival,Winter,44808,Bright,0,Medium,Royal Ethnic
Female,22,Doctor,Curvy,Medium,Tall,Traditional,Festival,Autumn,40535,Dark,0,Low,Royal Ethnic
Female,24,Lawyer,Slim,Wheatish,Short,Traditional,Festival,Winter,47172,Bright,1,Medium,Royal Ethnic
Female,42,Entrepreneur,Average,Fair,Tall,Traditional,Wedding,Winter,33096,Dark,1,Medium,Royal Ethnic
Male,39,Doctor,Athletic,Dark,Medium,Traditional,Wedding,Autumn,40144,Dark,1,Low,Royal Ethnic
Male,59,Entrepreneur,Average,Fair,Medium,Traditional,Wedding,Autumn,41197,Dark,0,Low,Royal Ethnic
Male,27,Doctor,Average,Fair,Tall,Traditional,Festival,Autumn,49570,Dark,0,Low,Royal Ethnic
Male,57,Engineer,Curvy,Fair,Medium,Traditional,Wedding,Winter,39336,Dark,0,High,Royal Ethnic
Male,37,Freelancer,Athletic,Dark,Tall,Traditional,Festival,Winter,42513,Dark,0,Low,Royal Ethnic
Male,34,Student,Curvy,Dark,Tall,Traditional,Wedding,Winter,32748,Bright,1,Medium,Royal Ethnic
Male,45,Doctor,Athletic,Medium,Medium,Traditional,Festival,Autumn,42991,Dark,0,Medium,Royal Ethnic
Male,41,Designer,Slim,Dark,Short,Traditional,Wedding,Autumn,31255,Dark,1,High,Royal Ethnic
Male,48,Freelancer,Slim,Fair,Short,Traditional,Wedding,Autumn,47983,Dark,0,Medium,Royal Ethnic
Male,37,Doctor,Slim,Wheatish,Medium,Traditional,Wedding,Autumn,46378,Bright,0,High,Royal Ethnic
Male,36,Entrepreneur,Slim,Dark,Short,Traditional,Wedding,Autumn,47153,Dark,0,High,Royal Ethnic
Male,42,Freelancer,Slim,Medium,Medium,Traditional,Wedding,Winter,32213,Dark,0,High,Royal Ethnic
Male,55,Lawyer,Athletic,Fair,Medium,Traditional,Wedding,Winter,45680,Bright,0,Low,Royal Ethnic
Female,20,Manager,Athletic,Fair,Short,Traditional,Festival,Winter,46888,Dark,1,Medium,Royal Ethnic
Male,59,Designer,Average,Dark,Short,Traditional,Festival,Autumn,42059,Dark,1,High,Royal Ethnic
Female,42,Lawyer,Athletic,Medium,Tall,Traditional,Festival,Winter,32707,Dark,0,Medium,Royal Ethnic
Male,52,Manager,Average,Fair,Short,Traditional,Festival,Winter,44611,Dark,0,High,Royal Ethnic
Female,40,Freelancer,Slim,Dark,Tall,Traditional,Festival,Autumn,32458,Dark,1,High,Royal Ethnic
Male,19,Engineer,Curvy,Fair,Short,Traditional,Wedding,Winter,41866,Dark,0,High,Royal Ethnic
Male,46,Lawyer,Average,Medium,Short,Traditional,Festival,Winter,40301,Dark,0,Low,Royal Ethnic
Male,29,Freelancer,Curvy,Fair,Medium,Traditional,Festival,Autumn,39357,Dark,0,Low,Royal Ethnic
Male,22,Freelancer,Athletic,Medium,Short,Traditional,Festival,Autumn,48022,Dark,1,Low,Royal Ethnic
Male,41,Designer,Slim,Wheatish,Short,Traditional,Festival,Autumn,41825,Dark,1,High,Royal Ethnic
Male,57,Doctor,Slim,Dark,Medium,Traditional,Festival,Winter,48838,Bright,0,Medium,Royal Ethnic
Male,46,Freelancer,Average,Wheatish,Tall,Traditional,Wedding,Winter,46477,Bright,0,High,Royal Ethnic
Male,37,Engineer,Athletic,Dark,Tall,Traditional,Festival,Winter,32584,Dark,0,High,Royal Ethnic
Female,26,Manager,Slim,Wheatish,Tall,Traditional,Wedding,Winter,48468,Bright,0,Low,Royal Ethnic
Male,59,Manager,Athletic,Medium,Tall,Traditional,Festival,Winter,39899,Dark,0,High,Royal Ethnic
Female,37,Freelancer,Slim,Fair,Short,Traditional,Festival,Winter,45218,Bright,1,High,Royal Ethnic
Male,38,Lawyer,Average,Medium,Short,Traditional,Wedding,Winter,37921,Dark,0,Medium,Royal Ethnic
Female,33,Engineer,Slim,Fair,Medium,Traditional,Festival,Autumn,35233,Dark,1,Low,Royal Ethnic
Male,49,Freelancer,Curvy,Dark,Medium,Traditional,Wedding,Winter,46562,Dark,0,Low,Royal Ethnic
Female,21,Student,Average,Medium,Tall,Traditional,Festival,Autumn,33522,Dark,0,Medium,Royal Ethnic
Female,43,Lawyer,Slim,Medium,Short,Traditional,Festival,Winter,32409,Dark,1,High,Royal Ethnic
Female,57,Doctor,Athletic,Fair,Medium,Traditional,Festival,Winter,34727,Bright,1,High,Royal Ethnic
Male,20,Student,Athletic,Dark,Medium,Traditional,Wedding,Autumn,40746,Dark,0,Medium,Royal Ethnic
Female,55,Lawyer,Curvy,Dark,Medium,Traditional,Festival,Winter,33591,Dark,1,High,Royal Ethnic
Male,56,Freelancer,Average,Wheatish,Tall,Traditional,Festival,Autumn,47178,Dark,0,High,Royal Ethnic
Male,20,Doctor,Athletic,Fair,Medium,Traditional,Festival,Autumn,43531,Bright,1,High,Royal Ethnic
Female,21,Engineer,Athletic,Dark,Tall,Professional,Casual,Autumn,22837,Neutral,1,High,Smart Casual
Female,59,Manager,Curvy,Wheatish,Short,Professional,Casual,Summer,24876,Neutral,0,High,Smart Casual
Female,38,Freelancer,Average,Dark,Medium,Calm,Casual,Winter,33408,Neutral,0,Medium,Smart Casual
Male,36,Doctor,Average,Medium,Tall,Professional,Casual,Summer,23310,Neutral,1,Low,Smart Casual
Male,57,Designer,Athletic,Fair,Tall,Calm,Office,Spring,21641,Neutral,1,High,Smart Casual
Female,24,Engineer,Slim,Wheatish,Medium,Professional,Casual,Summer,32384,Neutral,1,Medium,Smart Casual
Male,23,Designer,Slim,Wheatish,Medium,Calm,Office,Winter,32909,Neutral,0,High,Smart Casual
Female,20,Student,Average,Fair,Medium,Professional,Casual,Winter,34569,Neutral,1,Medium,Smart Casual
Male,25,Lawyer,Athletic,Medium,Tall,Professional,Office,Spring,32068,Neutral,1,High,Smart Casual
Male,29,Entrepreneur,Curvy,Dark,Short,Professional,Office,Summer,22303,Neutral,1,Low,Smart Casual
Male,34,Entrepreneur,Athletic,Medium,Medium,Professional,Casual,Spring,24285,Neutral,0,Low,Smart Casual
Male,47,Manager,Athletic,Medium,Tall,Professional,Office,Autumn,26021,Neutral,0,Low,Smart Casual
Female,27,Freelancer,Average,Medium,Tall,Professional,Office,Summer,31146,Neutral,1,High,Smart Casual
Female,22,Doctor,Slim,Wheatish,Tall,Calm,Office,Autumn,33999,Neutral,0,High,Smart Casual
Male,55,Freelancer,Slim,Medium,Short,Professional,Office,Winter,27484,Neutral,1,High,Smart Casual
Female,19,Entrepreneur,Average,Fair,Tall,Calm,Office,Spring,26941,Neutral,0,High,Smart Casual
Male,22,Freelancer,Slim,Dark,Medium,Calm,Office,Winter,26135,Neutral,1,Medium,Smart Casual
Female,23,Engineer,Average,Fair,Short,Professional,Office,Summer,33677,Neutral,0,Medium,Smart Casual
Female,52,Entrepreneur,Curvy,Wheatish,Short,Professional,Casual,Summer,24516,Neutral,0,Low,Smart Casual
Female,57,Student,Athletic,Wheatish,Short,Calm,Office,Winter,29794,Neutral,0,High,Smart Casual
Male,43,Freelancer,Athletic,Wheatish,Short,Calm,Casual,Summer,33365,Neutral,1,Low,Smart Casual
Female,27,Designer,Curvy,Dark,Medium,Calm,Office,Winter,29107,Neutral,0,Medium,Smart Casual
Female,51,Lawyer,Curvy,Medium,Short,Professional,Casual,Summer,32360,Neutral,0,Low,Smart Casual
Female,27,Freelancer,Slim,Medium,Medium,Calm,Casual,Summer,24177,Neutral,1,High,Smart Casual
Male,46,Lawyer,Slim,Wheatish,Short,Professional,Casual,Spring,34313,Neutral,0,High,Smart Casual
Male,48,Designer,Average,Dark,Short,Calm,Office,Spring,32236,Neutral,0,High,Smart Casual
Male,43,Designer,Average,Dark,Medium,Professional,Casual,Autumn,24285,Neutral,1,Medium,Smart Casual
Male,48,Lawyer,Athletic,Dark,Medium,Professional,Office,Summer,32144,Neutral,0,Medium,Smart Casual
Female,36,Engineer,Athletic,Dark,Short,Professional,Office,Winter,29021,Neutral,1,Medium,Smart Casual
Female,47,Engineer,Average,Wheatish,Short,Professional,Office,Spring,28584,Neutral,0,High,Smart Casual
Male,18,Entrepreneur,Athletic,Wheatish,Short,Calm,Office,Summer,28285,Neutral,1,Low,Smart Casual
Female,60,Freelancer,Slim,Fair,Tall,Professional,Office,Spring,28673,Neutral,1,Low,Smart Casual
Female,29,Doctor,Slim,Wheatish,Short,Calm,Casual,Autumn,24379,Neutral,0,Medium,Smart Casual
Female,47,Designer,Athletic,Dark,Tall,Calm,Office,Spring,26640,Neutral,1,High,Smart Casual
Female,21,Student,Athletic,Fair,Medium,Professional,Casual,Spring,34660,Neutral,0,Low,Smart Casual
Female,35,Student,Slim,Dark,Tall,Calm,Office,Autumn,20256,Neutral,0,High,Smart Casual
Female,22,Manager,Athletic,Wheatish,Tall,Professional,Casual,Winter,32379,Neutral,0,High,Smart Casual
Female,21,Doctor,Curvy,Wheatish,Short,Professional,Casual,Autumn,20485,Neutral,1,Medium,Smart Casual
Male,40,Entrepreneur,Curvy,Wheatish,Tall,Professional,Office,Autumn,33075,Neutral,0,Low,Smart Casual
Female,27,Entrepreneur,Athletic,Medium,Medium,Professional,Office,Spring,20085,Neutral,1,Medium,Smart Casual
Female,24,Engineer,Slim,Wheatish,Medium,Professional,Casual,Spring,20430,Neutral,1,High,Smart Casual
Male,56,Lawyer,Curvy,Fair,Medium,Professional,Casual,Spring,31875,Neutral,0,High,Smart Casual
Female,28,Engineer,Average,Dark,Medium,Professional,Office,Spring,22739,Neutral,1,Medium,Smart Casual
Female,48,Doctor,Average,Dark,Short,Professional,Office,Winter,21752,Neutral,1,Low,Smart Casual
Female,39,Entrepreneur,Average,Medium,Medium,Professional,Office,Autumn,25253,Neutral,1,Medium,Smart Casual
Male,43,Lawyer,Average,Medium,Tall,Calm,Casual,Winter,24592,Neutral,1,Low,Smart Casual
Male,55,Engineer,Slim,Medium,Tall,Calm,Casual,Autumn,33619,Neutral,1,High,Smart Casual
Female,26,Manager,Athletic,Dark,Tall,Calm,Casual,Winter,21211,Neutral,1,High,Smart Casual
Female,52,Entrepreneur,Slim,Dark,Tall,Calm,Office,Summer,30774,Neutral,0,High,Smart Casual
Male,54,Entrepreneur,Average,Medium,Short,Calm,Office,Autumn,23637,Neutral,1,Medium,Smart Casual
Female,47,Engineer,Average,Fair,Medium,Professional,Office,Winter,32813,Neutral,0,Medium,Corporate Sharp
Female,39,Freelancer,Athletic,Medium,Medium,Professional,Office,Winter,44825,Neutral,0,Medium,Corporate Sharp
Male,25,Student,Average,Fair,Tall,Professional,Office,Summer,48084,Neutral,1,High,Corporate Sharp
Female,47,Designer,Curvy,Wheatish,Short,Professional,Office,Spring,36465,Neutral,1,Medium,Corporate Sharp
Male,31,Designer,Average,Fair,Tall,Professional,Office,Autumn,40681,Neutral,1,Low,Corporate Sharp
Female,60,Freelancer,Average,Medium,Tall,Professional,Office,Autumn,41533,Neutral,0,High,Corporate Sharp
Female,57,Doctor,Athletic,Dark,Short,Professional,Office,Spring,35998,Neutral,0,High,Corporate Sharp
Female,44,Engineer,Curvy,Medium,Short,Professional,Office,Summer,46044,Neutral,0,Low,Corporate Sharp
Female,46,Student,Average,Fair,Medium,Professional,Office,Winter,48401,Neutral,1,High,Corporate Sharp
Female,44,Freelancer,Curvy,Wheatish,Short,Professional,Office,Autumn,31071,Neutral,0,High,Corporate Sharp
Female,28,Freelancer,Curvy,Fair,Tall,Professional,Office,Autumn,47761,Neutral,1,High,Corporate Sharp
Male,45,Doctor,Athletic,Dark,Short,Professional,Office,Autumn,32850,Neutral,0,Low,Corporate Sharp
Male,55,Lawyer,Curvy,Wheatish,Tall,Professional,Office,Summer,31945,Neutral,1,High,Corporate Sharp
Male,38,Manager,Average,Dark,Tall,Professional,Office,Winter,31942,Neutral,0,High,Corporate Sharp
Male,33,Engineer,Average,Wheatish,Tall,Professional,Office,Summer,48921,Neutral,1,Medium,Corporate Sharp
Female,22,Doctor,Curvy,Dark,Tall,Professional,Office,Winter,40724,Neutral,0,High,Corporate Sharp
Female,58,Lawyer,Slim,Medium,Short,Professional,Office,Winter,38799,Neutral,1,Medium,Corporate Sharp
Male,54,Freelancer,Average,Fair,Short,Professional,Office,Spring,34071,Neutral,1,Medium,Corporate Sharp
Male,45,Designer,Athletic,Dark,Short,Professional,Office,Autumn,38204,Neutral,1,High,Corporate Sharp
Male,21,Entrepreneur,Average,Wheatish,Medium,Professional,Office,Spring,36993,Neutral,0,Low,Corporate Sharp
Male,51,Freelancer,Slim,Fair,Tall,Professional,Office,Winter,34331,Neutral,0,Low,Corporate Sharp
Female,23,Doctor,Slim,Dark,Medium,Professional,Office,Winter,34362,Neutral,0,High,Corporate Sharp
Male,57,Engineer,Curvy,Dark,Tall,Professional,Office,Winter,44496,Neutral,0,Low,Corporate Sharp
Male,25,Entrepreneur,Average,Medium,Medium,Professional,Office,Autumn,32760,Neutral,1,High,Corporate Sharp
Male,60,Manager,Athletic,Wheatish,Tall,Professional,Office,Spring,37842,Neutral,1,Low,Corporate Sharp
Male,49,Doctor,Slim,Dark,Medium,Professional,Office,Winter,41973,Neutral,1,Low,Corporate Sharp
Male,55,Doctor,Slim,Dark,Short,Professional,Office,Winter,46600,Neutral,1,Medium,Corporate Sharp
Female,23,Engineer,Average,Fair,Medium,Professional,Office,Summer,47576,Neutral,1,High,Corporate Sharp
Male,37,Entrepreneur,Athletic,Fair,Short,Professional,Office,Spring,44856,Neutral,1,High,Corporate Sharp
Male,25,Student,Athletic,Fair,Short,Professional,Office,Autumn,35471,Neutral,0,High,Corporate Sharp
Female,25,Student,Average,Medium,Medium,Professional,Office,Spring,46257,Neutral,1,Low,Corporate Sharp
Female,54,Engineer,Average,Wheatish,Medium,Professional,Office,Summer,46673,Neutral,0,Low,Corporate Sharp
Male,20,Freelancer,Average,Medium,Short,Professional,Office,Winter,37356,Neutral,0,Medium,Corporate Sharp
Female,35,Doctor,Average,Fair,Tall,Professional,Office,Summer,46900,Neutral,1,Low,Corporate Sharp
Female,36,Manager,Average,Fair,Tall,Professional,Office,Autumn,36575,Neutral,1,High,Corporate Sharp
Male,47,Lawyer,Curvy,Wheatish,Tall,Professional,Office,Spring,43436,Neutral,0,High,Corporate Sharp
Female,58,Student,Average,Fair,Tall,Professional,Office,Spring,36723,Neutral,1,Medium,Corporate Sharp
Male,27,Manager,Slim,Fair,Short,Professional,Office,Winter,32782,Neutral,0,High,Corporate Sharp
Female,22,Student,Curvy,Wheatish,Short,Professional,Office,Autumn,42876,Neutral,1,Medium,Corporate Sharp
Female,32,Doctor,Athletic,Wheatish,Tall,Professional,Office,Spring,35386,Neutral,1,Medium,Corporate Sharp
Female,25,Lawyer,Athletic,Medium,Medium,Professional,Office,Spring,32962,Neutral,1,High,Corporate Sharp
Male,31,Lawyer,Athletic,Fair,Tall,Professional,Office,Winter,46825,Neutral,1,Medium,Corporate Sharp
Male,19,Entrepreneur,Curvy,Wheatish,Short,Professional,Office,Summer,33979,Neutral,0,Low,Corporate Sharp
Male,30,Entrepreneur,Average,Fair,Tall,Professional,Office,Spring,32112,Neutral,1,Low,Corporate Sharp
Male,39,Doctor,Slim,Medium,Short,Professional,Office,Winter,46257,Neutral,1,High,Corporate Sharp
Female,29,Lawyer,Athletic,Wheatish,Medium,Professional,Office,Summer,31135,Neutral,1,Medium,Corporate Sharp
Female,53,Freelancer,Slim,Fair,Medium,Professional,Office,Winter,36535,Neutral,0,Medium,Corporate Sharp
Female,48,Freelancer,Average,Dark,Medium,Professional,Office,Spring,40448,Neutral,0,Medium,Corporate Sharp
Male,48,Lawyer,Athletic,Wheatish,Short,Professional,Office,Autumn,47487,Neutral,0,High,Corporate Sharp
Female,40,Engineer,Athletic,Wheatish,Tall,Professional,Office,Spring,41523,Neutral,0,Medium,Corporate Sharp
